unit,geo_time,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
PPS_HAB,FI20,35900,34600,35500,35300,35800,38200,38200,37500,39700,38100,38200,37200
PPS_HAB,FR10,: ,: ,: ,: ,: ,: ,: ,: ,51500,51700 p,52900 p,54800 e
PPS_HAB,FRB0,: ,: ,: ,: ,: ,: ,: ,: ,25300,25100 p,25200 p,25700 e
PPS_HAB,FRC1,: ,: ,: ,: ,: ,: ,: ,: ,25300,24800 p,24700 p,25300 e
PPS_HAB,FRC2,: ,: ,: ,: ,: ,: ,: ,: ,23200,23000 p,23400 p,23700 e
PPS_HAB,FRD1,: ,: ,: ,: ,: ,: ,: ,: ,24300,24200 p,24300 p,25000 e
PPS_HAB,FRD2,: ,: ,: ,: ,: ,: ,: ,: ,26600,26300 p,26400 p,27000 e
PPS_HAB,FRE1,: ,: ,: ,: ,: ,: ,: ,: ,24800,24700 p,24900 p,25500 e
PPS_HAB,FRE2,: ,: ,: ,: ,: ,: ,: ,: ,23300,22600 p,22400 p,22800 e
PPS_HAB,FRF1,: ,: ,: ,: ,: ,: ,: ,: ,28000,28100 p,28700 p,29400 e
PPS_HAB,FRF2,: ,: ,: ,: ,: ,: ,: ,: ,26000,25400 p,25400 p,26100 e
PPS_HAB,FRF3,: ,: ,: ,: ,: ,: ,: ,: ,23000,22600 p,22500 p,22900 e
PPS_HAB,FRG0,: ,: ,: ,: ,: ,: ,: ,: ,27400,27400 p,28000 p,28800 e
PPS_HAB,FRH0,: ,: ,: ,: ,: ,: ,: ,: ,25700,25800 p,26400 p,27300 e
PPS_HAB,FRI1,: ,: ,: ,: ,: ,: ,: ,: ,26600,26600 p,27300 p,28300 e
PPS_HAB,FRI2,: ,: ,: ,: ,: ,: ,: ,: ,22900,23300 p,24000 p,24500 e
PPS_HAB,FRI3,: ,: ,: ,: ,: ,: ,: ,: ,24800,24500 p,24800 p,25600 e
PPS_HAB,FRJ1,: ,: ,: ,: ,: ,: ,: ,: ,22800,22700 p,22800 p,23600 e
PPS_HAB,FRJ2,: ,: ,: ,: ,: ,: ,: ,: ,28100,28200 p,28500 p,29300 e
PPS_HAB,FRK1,: ,: ,: ,: ,: ,: ,: ,: ,24900,24000 p,23900 p,24300 e
PPS_HAB,FRK2,: ,: ,: ,: ,: ,: ,: ,: ,30400,30500 p,31200 p,32200 e
PPS_HAB,FRL0,: ,: ,: ,: ,: ,: ,: ,: ,28600,28300 p,28500 p,29500 e
PPS_HAB,FRM0,: ,: ,: ,: ,: ,: ,: ,: ,24800,24800 p,25000 p,25900 e
PPS_HAB,FRY1,: ,: ,: ,: ,: ,: ,: ,: ,20900,21200 p,21800 p,22300 e
PPS_HAB,FRY2,: ,: ,: ,: ,: ,: ,: ,: ,22800,22600 p,22600 p,23700 e
PPS_HAB,FRY3,: ,: ,: ,: ,: ,: ,: ,: ,15600,15700 p,14700 p,14700 e
PPS_HAB,FRY4,: ,: ,: ,: ,: ,: ,: ,: ,20000,20300 p,20800 p,21600 e
PPS_HAB,FRY5,: ,: ,: ,: ,: ,: ,: ,: ,9100,9500 p,10300 p,9200 e
PPS_HAB,HR03,15900,16000,14800,14500 b,15000,15400,15400,15800,16700,17200,18000,18900
PPS_HAB,HR04,16000,16600,15400,15400 b,16000,16300,16300,16500,17600,18100,18800,19800
PPS_HAB,HU11,33700,35800,35600,36100,37500,38100,38000,39300,40100,39800,41800,44600
PPS_HAB,HU12,14700,14400,13500,14400,14600,14500,15200,15800,16700,16000,16200,17400
PPS_HAB,HU21,14500,14900,13200,14300,15300,15300,16200,17100,18800,18900,19300,20200
PPS_HAB,HU22,15800,16300,15100,16900,17700,17800,18400,20000,21700,21600,21600,22200
PPS_HAB,HU23,10500,11100,10700,11100,11500,11900,12300,12500,13300,13200,13900,15100
PPS_HAB,HU31,9800,10000,9300,9800,10300,10300,11100,11800,13400,13200,14200,15100
